order_id,product_id,customer_id,product,state_name,amount,currency,timestamp,transaction_date
2480,99,117,"Beans - Black Bean, Dry",California,1272,USD,2020-09-02T23:26:45Z,9/2/2020
6221,30,894,Onions - White,New Jersey,974,USD,2020-09-02T23:09:19Z,9/2/2020
8758,84,726,Knife Plastic - White,Texas,2401,USD,2020-09-02T16:17:38Z,9/2/2020
2410,23,888,"Lamb - Leg, Boneless",California,692,USD,2020-09-02T11:26:24Z,9/2/2020
9535,85,579,Artichoke - Fresh,New York,1207,USD,2020-09-02T01:24:09Z,9/2/2020
1502,26,658,Flour - Bread,New York,4286,USD,2020-09-02T15:21:31Z,9/2/2020
7045,17,294,French Kiss Vanilla,New York,1308,USD,2020-09-02T15:03:51Z,9/2/2020
9268,10,146,Onion Powder,New York,2520,USD,2020-09-02T12:31:29Z,9/2/2020
3475,36,352,Cake - Bande Of Fruit,New York,4192,USD,2020-09-02T19:20:51Z,9/2/2020
5402,89,642,Lid - 16 Oz And 32 Oz,New York,639,USD,2020-09-02T17:10:13Z,9/2/2020
8151,56,421,Cheese - Valancey,New Jersey,938,USD,2020-09-02T13:21:40Z,9/2/2020
9642,34,859,"7up Diet, 355 Ml",Texas,538,USD,2020-09-02T16:24:00Z,9/2/2020
5922,84,594,"Wine - White, Concha Y Toro",California,1639,USD,2020-09-02T09:13:05Z,9/2/2020
2656,50,851,Wine - Muscadet Sur Lie,California,2474,USD,2020-09-02T08:08:52Z,9/2/2020
1511,20,527,Foil Cont Round,New Jersey,4644,USD,2020-09-02T13:38:48Z,9/2/2020
3177,28,610,Syrup - Monin - Blue Curacao,Texas,3461,USD,2020-09-02T06:13:37Z,9/2/2020
1568,90,840,Mushroom - White Button,California,4177,USD,2020-09-02T01:28:33Z,9/2/2020
8631,47,803,"Lamb - Whole, Frozen",New York,3087,USD,2020-09-02T10:20:57Z,9/2/2020
2351,65,733,Sauce - Fish 25 Ozf Bottle,New York,2976,USD,2020-09-02T22:51:20Z,9/2/2020
5511,94,671,Sprouts - Baby Pea Tendrils,New York,3238,USD,2020-09-02T07:57:36Z,9/2/2020
4232,91,285,Wine - Casillero Del Diablo,New York,1107,USD,2020-09-02T20:47:01Z,9/2/2020
7809,83,110,Longos - Grilled Veg Sandwiches,New York,2004,USD,2020-09-02T21:26:19Z,9/2/2020
4468,73,374,Paste - Black Olive,New York,4496,USD,2020-09-02T15:25:47Z,9/2/2020
9792,73,480,Pastry - Chocolate Chip Muffin,New Jersey,1974,USD,2020-09-02T19:34:59Z,9/2/2020
4956,70,348,"Potatoes - Purple, Organic",Texas,3209,USD,2020-09-02T09:42:03Z,9/2/2020
3282,63,500,Soup - Campbells - Chicken Noodle,California,2376,USD,2020-09-02T00:02:10Z,9/2/2020
9433,37,845,Longos - Grilled Veg Sandwiches,California,3801,USD,2020-09-02T16:05:47Z,9/2/2020
6967,41,362,Compound - Mocha,New Jersey,3432,USD,2020-09-02T09:24:33Z,9/2/2020
3208,70,303,Potatoes - Peeled,Texas,1435,USD,2020-09-02T04:52:14Z,9/2/2020
2013,74,440,Pork - Caul Fat,California,579,USD,2020-09-02T06:36:45Z,9/2/2020
9823,42,773,Myers Planters Punch,New York,2812,USD,2020-09-02T06:09:36Z,9/2/2020
2422,90,591,Wine - Casablanca Valley,New York,2380,USD,2020-09-02T03:12:07Z,9/2/2020
9453,41,309,Mortadella,New York,612,USD,2020-09-02T19:36:50Z,9/2/2020
8392,75,281,Dc - Frozen Momji,New York,4261,USD,2020-09-02T23:06:05Z,9/2/2020
1303,22,884,Muffins - Assorted,New York,1656,USD,2020-09-02T09:26:41Z,9/2/2020
8686,56,717,"Juice - Clamato, 341 Ml",New York,1731,USD,2020-09-02T17:21:36Z,9/2/2020
6634,11,479,White Fish - Filets,New Jersey,1190,USD,2020-09-02T22:06:48Z,9/2/2020
8610,91,386,Lobster - Base,Texas,2428,USD,2020-09-02T15:47:22Z,9/2/2020
3343,32,538,Beer - Maudite,California,3395,USD,2020-09-02T02:30:33Z,9/2/2020
3094,88,467,Sherry - Dry,California,4467,USD,2020-09-02T02:41:41Z,9/2/2020
2524,43,162,Potatoes - Pei 10 Oz,New Jersey,536,USD,2020-09-02T16:16:40Z,9/2/2020
3983,95,753,Pork - Ground,Texas,3468,USD,2020-09-02T03:08:05Z,9/2/2020
4760,68,397,Wine - Valpolicella Masi,California,1034,USD,2020-09-02T21:49:23Z,9/2/2020
1916,42,555,Jagermeister,New York,1751,USD,2020-09-02T04:55:48Z,9/2/2020
5223,50,363,Mushrooms - Honey,New York,2463,USD,2020-09-02T10:07:11Z,9/2/2020
4348,68,383,"Chilli Paste, Sambal Oelek",New York,544,USD,2020-09-02T12:17:17Z,9/2/2020
7441,34,739,Mushroom - Chanterelle Frozen,New York,4028,USD,2020-09-02T13:20:12Z,9/2/2020
9631,14,229,Chocolate Bar - Smarties,New York,1171,USD,2020-09-02T17:45:37Z,9/2/2020
9266,70,550,Flower - Potmums,New York,4666,USD,2020-09-02T05:08:13Z,9/2/2020
2505,34,420,Cake - French Pear Tart,New Jersey,1320,USD,2020-09-02T13:00:18Z,9/2/2020
4545,29,717,Cornflakes,Texas,3340,USD,2020-09-02T09:09:48Z,9/2/2020
3347,96,135,Sobe - Cranberry Grapefruit,California,3507,USD,2020-09-02T18:21:28Z,9/2/2020
9232,15,187,Danishes - Mini Cheese,California,1084,USD,2020-09-02T00:53:51Z,9/2/2020
3701,47,702,Pork - Shoulder,New Jersey,4305,USD,2020-09-02T19:49:44Z,9/2/2020
4076,55,868,Plastic Wrap,Texas,4013,USD,2020-09-02T01:40:09Z,9/2/2020
6978,82,775,Wine - Casablanca Valley,California,4237,USD,2020-09-02T23:19:38Z,9/2/2020
9517,34,867,Flour - Strong,New York,603,USD,2020-09-02T07:37:32Z,9/2/2020
7159,21,453,"Bread - Roll, Calabrese",New York,3645,USD,2020-09-02T08:36:56Z,9/2/2020
5944,68,668,Tea - English Breakfast,New York,904,USD,2020-09-02T02:16:38Z,9/2/2020
7278,62,847,Tart - Raisin And Pecan,New York,1975,USD,2020-09-02T03:04:08Z,9/2/2020
8833,67,864,Longos - Burritos,New York,1969,USD,2020-09-02T05:42:51Z,9/2/2020
2105,50,416,Wine - Clavet Saint Emilion,New York,554,USD,2020-09-02T20:08:43Z,9/2/2020
2590,42,121,Anisette - Mcguiness,New Jersey,2373,USD,2020-09-02T17:04:33Z,9/2/2020
8407,24,756,Appetizer - Mushroom Tart,Texas,4932,USD,2020-09-02T05:18:40Z,9/2/2020
